IDIOM,meaning,uses
easter egg,"a decorated or dyed egg usually given to children at Easter
a feature that is hidden in video games, websites, software or social media and only unveiled after playing or viewing for a long time
a hidden message or surprise gift","While scrolling down the menu of Grand Theft Auto V, I happened upon an Easter egg.
My parents are amazing; they left me an Easter egg.
My boss's emails are always filled a thousand and one Easter eggs.
Rebecca has planned to reveal a really surprising Halloween Easter egg for their kids."
out of the frying pan into the fire,"to go from a bad to worse situation
used to refer when a bad situation turned critical
moving from a very difficult position to one that is considered much worse","In a bid to gain independence, she agreed to get married early, not knowing she was jumping out of the frying pan into the fire.
Moving from my old school to this one is like jumping out of the frying pan into the fire.
I wanted to fix the leakage but being so old the pipe was straight out of the frying pan and into the fire.
Liza started shouting at me in public when I went to apologize. I was like out of the frying pan into the fire."
act of god,"an occurrence of out of control natural forces in action
an act legitimately acknowledged as being outside of any human control","No matter how strong you are but you can't stop the acts of God.
The only way I get to fail that exam is if there is an act of God because I prepared well for it.
We can agree that Hurricane Florence was an act of God.
Jack is an evil man now only an act of God can change him.
That was a strong earthquake - you can't predict the acts of God."
toot one's own horn,"blow one's own horn
blow one's own trumpet","My father told me never to toot my own horn.
To be celebrated, you have to toot your own horn.
Toot your own horn, because I am not going to toot it for you.
 It's good to toot your own horn for the reason that occasionally you required to be your finest spokesperson.
Julia always keep blowing her own horn in front of everybody."
fast food,"food that is tasty but has less or no nutritional value is referred to as fast food
also, anything which seems attractive but is of no use is junk food
processed or packaged foods that are high in calories but low in nutrition","Nina loves French fries and other fast food.
She is so addicted to such fast food that she now she completely avoids proper meals.
Doctors say that a high intake of junk food can slow down our metabolism.
Fast food tastes good, no matter how unhealthy it is.
Recently, a debate on whether junk food should be highly taxed in order to cure obesity was a matter of talk.
According to recent reports from WHO, about 60% of Hungarians have reduced their fast food intake due to excess tax duty levied on junk food."
on a roll,"making a lot of progress
having a lot of success
having a long period of success or good fortune
enjoying or taking advantage of good luck","Our team has won eleven out of our twelve matches this season. We are on a roll.
I am going to bet on the hockey tonight. Our team has been on a roll this season.
I don't want to go out tonight. I am on a roll with my latest paper and don't want to lose momentum.
The stock market is on a roll at the moment. You need to invest before it turns.
Their party is on a roll this year. I think they are going to win the election."
ward off,"to prevent something from harming you
to prevent something from happening (often used when trying to keep from getting ill)
defend against
protect against
deflect
keep at bay
hold off
fight off
fend off
discourage","Our government has doubled the number of soldiers at the border to ward off illegal immigrants.
Don't forget to take your umbrella to ward off the rain, Peter. It is horrible outside.
I have changed my diet in order to ward off a cold this winter. I am having a lot of fresh fruit and vegetables.
I have to take this medicine to ward off an infection. I have a bad cut from falling off my motorcycle.
I have tried everything possible to ward off the crazy girls who keep texting me."
drop by,"an informal visit
an unexpected visit
call on
go see
come round
pop round
drop in
drop over","I hope to finish the dress before Saturday. If you want to see what it looks like you should drop by over the weekend.
I will drop by to pick up my glasses that I left there, last weekend.
My parents drop by at least twice a week for supper.
You don't have to phone before you come. We are home the whole day, you can just drop by.
I am going to drop by his office to take him lunch."
broken heart,"break someone's heart
heartbroken
brokenhearted","I know he broke your heart, but there are other boys out there who are better than him.
If the verdict is proved guilty, it will break her mother's heart
He scored such an awful score in the exam, that it broke my heart.
The sudden death of my grandfather broke my heart.
It really broke my heart when he confessed that he loves someone else.
He broke my heart by saying that I look grotesque.
Don't worry. Your broken heart will heal with the passage of item."
blind as a bat,"unconscious to something
unable to recognize problems or bad things.
you can use this idiom to refer to someone who refuses to notice an obvious thing
someone is blind as a bat is unable to see at all (literal meaning)
having poor vision or bad eyesight (literal meaning)","Maria is so in love, she is as blind as a bat when it comes to Mark’s rude behavior.
Jenny's husband is as blind as a bat even when he knows that she is having an extramarital affair.
I have such a lousy eyesight that at the time of diagnosis, I was called as a blind as a bat by the ophthalmologist.
Even was Lauren was so rude to his colleagues, his boss gave him promotion because he was as blind as a bat to see his behavior affecting other people.
Ross is as blind as a bat when it comes to Emma’s disgraceful behavior.
My grandfather was so ignorant on his vision that at the age of 70, he was as blind as a bat."
in a fog,"in a great confusion
not giving attention to something
being in a state of perplexity or confusion
unable to think or understand clearly about what is happening around you
not alert","Jane always seems to be in a fog.
I always feel like I'm in a fog when I take that medication. It's like it's hard for me to think.
After the accident, he went about in a fog, even though he had not been injured.
History is a subject which I hate to study. So whenever I sit in history class, I am in a fog.
I didn't vote for Alice because she always seems to be in a fog.
I was so upset for two days that I went around in a haze, not even answering when people spoke to me. (Here in this example, ""haze"" is used instead of ""fog"" which explicitly means to be in a confused state).
Millie always seems to be in a haze; she never knows what's going on."
dollars to donuts,"an outcome that is almost assured is called as dollars to doughnuts
a certainty of an event or activity
used to highlight sureness of something","And I'll bet dollars to donuts that he will have no strategic plan on how to effectively deny Clinton's speech.
I'll bet you dollars to donuts she won't accept his marriage proposal.
I will bet you dollars to donuts that this time she will not top in the exam.
I lost my umbrella. Dollars to donuts it rains tomorrow!
Dollars to donuts that Kevin will be late tonight—he's never on time.
Dollars to donuts that John will lose the battle as his opponent is very strong as compared to him.
Dollars to donuts that the economy is going to be hit adversely due to fall in prices."
fair-weather friend,"used to refer a friend who is not reliable in difficult times
someone who is a friend only when things are going right and leaves you when you face a trouble
someone who abandons you at the time of utmost difficulty
one who does not stand by you at your tough times is your fair-weather friend","Simran is looking for a loyal friend, not a fair-weather friend.
I really had thought that she would help me with my problem, but she is a fair-weather friend.
Richard always had to deal with all of his situations by himself as all his friends are fair-weather friends.
One day I will show that I am not mere a fair-weather friend of her.
A fair-weather friend cannot be helpful in an emergency.
I was hit by an accident and was hoping my friend Jenny to help me, but she is really just a fair-weather friend.
""I thought he was a great friend but he's really just a fair-weather friend. He didn't even call or visit when I was in the hospital."""
under fire,"being shot at
being thoroughly criticized
subject to extreme criticism or judgment
in the situation of being attacked by weaponry fire
to be criticized or held responsible
under attack
targeted
beleaguered
embattled
besieged","The politician came under fire after it was discovered that he had spend campaign money on lavish parties.
The CEO is under fire because of the high salaries paid to his friends.
Our landlord came under fire at the tenants’ meeting because he does not fix any of the problems with our apartments.
The teacher came under fire when all of her students failed to complete the standardized test in time."
first light,"the time when the light begins to appear in the morning
dawn
daybreak
cock-crow
break of day
crack of dawn
daylight
sunrise or sunup","The search for the missing children will continue at first light.
We have to leave at first light if we want to make it to the other side of the mountain by midday.
At first light, the elephants went in search of a watering hole.
We will leave at first light.
America and allies had finally decided that the nuclear bomb would be dropped at first light on two cities Hiroshima and Nagasaki of Japan."
"once bitten, twice shy","a bad experience cause to believe caution
said when you are frightened to do something again because you had the unfriendly experience of doing so for the first time
the first unpleasant experience of doing something - makes it scary and more difficult for further tries","I will never work with Peter again. He expects everyone to do the work on his behalf, once bitten twice shy.
We are careful about renting an apartment from that company. The previous one was terrible. Once bitten twice shy.
I am really worried about of using elevator again since I was stuck into it for hours - once bitten, twice shy.
Since my little daughter fell from the swing, she doesn't like swinging it anymore. Truly said, once bitten, twice shy."
kick the habit,"to overcome an addiction especially of an addiction like drugs
to kick the habit also means to break off with a habitual habit as inferred from the word itself
to give up something you had been doing for a long time","Even after trying so hard, I could not kick the habit of drinking.
Doctors should try to persuade smokers to kick the habit.
Teenagers spent a lot of time surfing on social media. They just can't kick the habit.
Recently, some of my friends and I joined a campaign called: ""Kick The Habit"" which emphasized youth to quit smoking.
They're members of Lawrence's tap dancing class, and they just can't kick the habit.
Once a child becomes accustomed to chewing his nails, it's difficult to kick the habit.
A person needs serious discipline to kick a habit like drinking.
You need to see the doctor since your can't break the habit of washing hand over and over again."
make ends meet,"make sufficient money to survive on
to have adequate money to manage expenses
to get by money-wise
cope
manage
break even
eke out a living
pay your bills
get by
scrape by","We will need to start saving money in order to make ends meet.
She is so lazy that she hardly able to make both ends meet each month."
head above water,"to succeed to survive in bad financial situations
to keep itself out of trouble in any difficult situation
manage to live well even in financial difficulties
to keep up with some difficult work or task in unfavourable circumstances
to survive, especially in a financial situation in which one is struggling to get out","I have to work 60 hours a week just to keep my head above water. I don't know how people do it.
With my new promotion at work it has been a struggle to keep my head above water.
They are increasing the rent on our apartment. I do not know how we are going to keep our heads above water.
In order to keep my head above water I have had to get a second job.
If my boss doesn't employ someone to help me soon I don't know what I am going to do. I can't keep my head above water with all of the new orders."
up and about,"to get out of the bed actively after sleep
to come out of the bed after an illness or injury
to be active, after a period of injury, sleep or idleness
risen from bed
awake
out of bed
up and doing
up and around
active and up
re-active","He was up and about within a few days of the operation.
It took her a month after the accident before she was really up and about.
I hurt my back during tennis practise yesterday. The doctor has given me some pain pills and I will be up and about in no time.
It will be a while before he is up and about. He has been in a very serious accident.
All of the kids had measles last week, but they are up and about today so they must be feeling better.
I will give you a call once I am up and about.
You are sleeping since yesterday, what is your intention to be up and about?"
free spirit,"a person who freely lives a life of his own way
free thinker who is not influenced by bonds or people
used to address a person who live an independent life in positive ways without getting affected by other people or traditions
independent person
individualist
freethinker
nonconformist
maverick
one-off
rebel","His wife is a free spirit, she does not believe in the work that we do.
My sister is the kindest person that you will ever meet. She is a free spirit and enjoys traveling the world.
We are going to the festival this weekend. It is a celebration of love, happiness and the free spirit.
I wish that I could be a free spirit like you; I am always concerned about what other people think of me.
In the 1960s there were more free spirits around than there are now.
My grandfather was a free spirited farmer and he spent his whole life happily."
keep the wolf from the door,"to have sufficient money to prevent starvation or hunger
to do something that lets one to escape death by small margin
to maintain itself at the lowest level in order to avoid hunger or cold, etcetera
defend against financial or starvation devastation
refers to successfully arrange food and other essential things for family and itself","Both the man and his wife must work long hours just to keep the wolf from the door.
She can barely keep the wolf from the door with the help of such a small shop in town.
My grandfather told me that he had worked hard even when he was not physically fit to keep the wolf from the door.
During the recession most of the Americans were finding it difficult to keep the wolf from the door.
That beautiful lady is the mother of 3 kids and earns money by illegitimate means to keep the wolf from the door."
so to speak,"as it where
in a manner of speaking
sort of
as you might say
that is to say
used to underline the fact that one is telling something in a strange or symbolic manner","I will tell you what is going on but only because you are already family, so to speak.
He is not allowed to go out with his friends. His wife sits on his head, so to speak.
You have passed all of your exams, so to speak, and should be expecting an offer soon.
If you moved to Canada, so to say. What you will do to get rid of the extreme cold?"
stands to reason,"to reach a logical conclusion
to come to a reasonable deduction
to work out the reasons to reach an obvious fact","The company stands to reason that the project will take at least another six months to conclude given that none of the managers have a better grip on the work.
I thought about buying you the groceries for the week because it stood to reason that you will need it while I am away.
It stands to reason that you will reach home in 20 minutes since there is literally no traffic on the roads today.
It stands to reason that the money will be used for the purpose stated when the people collecting it have integrity as one of their core values.
When you do not know what is to be done then it stands to reason how far ahead you will be able to go in this field.
It stands to reason that you will not be able to complete the marathon if you are not able to run for more than a mile per day."
up to no good,"to have an evil plan
to not be doing anything good for anybody
to be inclined towards making something worse through a planned effort","The children can be up to no good cooped up in that attic together for two hours. You must go up and check.
I was up to no good when I asked you to come with me, I am admitting it now.
You are up to no good, are you?
Can you try to find out more about these plans? I think that the company is up to no good with releasing my gratuity amount.
She is up to no good when she hides behind the curtains like this. I have to always have an eye on my toddler.
The politician was up to no good and hence did not answer any questions relating to the allegations that he had made about the opposing party leader.
I'm afraid she is up to no good spending all that time with her friends."
zip it,"to ask someone to shut up
to ask to not say anything further, in a rude manner
to stop talking","The teacher had asked the class to zip it but today everybody seemed to want to talk a lot. So she punished the entire class.
I told you to zip it while I pray. Why are you disturbing me then?
She should just zip it in front of her in-laws knowing that they don’t care anyway.
My mom would just ask me to zip it when I started asking questions about this topic.
Can you please zip it so I can concentrate on the game?
My siblings were often told to zip it but I always did what I wanted.
You should not zip it when it is a matter of your life. You must have a full say in the decision.
Children are often asked to zip it but that is just bad parenting."
in vain,"without success
unsuccessfully
uselessly
hopelessly
for nothing
with little hope
no to avail
fruitlessly
to no purpose
profitless","It seems as if the merger will go through and all our hard work has been in vain.
Your protests are all in vain. He will get the promotion as he is the boss's son.
All of my studying was in vain. The professor asked questions that were not in the material.
Could you please stop using my name in vain before I make a scene.
Worshiping the Lord is never in vain. It gives the fruit for sure - sooner or later.
In the end, the captain's hard work was all in vain by the loss of the match.
The struggle of Wright brother, ultimately wasn't in vain with a successful flight of their airplane.
I will not let my efforts go in vain. And I will keep trying until I win.
From the day I lost my dog, I am trying to find it but all in vain."
sleep tight,"an affectionate way of wishing someone a good night's sleep
sleep very well and deeply
an adorable goodnight wish
sleep well","I am going to bed now. Good night, sleep tight.
Kid: ""Mamma, I am feeling sleepy."" Mamma: ""Good night and sleep tight honey!""
I hope to see you in my dreams. Sleep tight!
It's so weird that whenever you say ""sleep tight"" to me then that night I surely have nightmares.
I want to come in your dreams tonight. Therefore, go to your bed early and sleep tight!"
on your mark,"absolutely accurate
totally precise
it is accurate or perfect
a command given to runners before the start of a race
used to initiate players in a race to get ready themselves in the accurate opening pose","Runners, please get ready. On your mark, get set, go!
There are many opinions about how to deal with shortage of water but I think only Jeff is on the mark.
The prediction of Bob about Emma was definitely on the mark.
My heart started pounding and then the instructor yelled, ""On your mark!"" And we were ready to run.
Dear students, let's see who completes the Essay Writing Test in the least amount of time. Be on your mark, get set and start!"
too close to call,"a margin that is too close to determine a winner
not possible to predict the outcome of a match or election
on level pegging
with nothing to choose between them
too close or equal
at almost same level","There are only a few minutes left in the match and it is too close to call.
This match is too close to call, it is very stressful.
The election has been too close to call, but we trust that our candidate will win.
Political experts believe that it's too close to call since both the election candidates are quite prominent competitor.
The last round was too close to call therefore this round will be crucial in order to declare the winner.
Both of the dogs are equally strong and too close to call."
the devil is beating his wife,"raining whereas the sun is shining
when the sun is shining yet it's raining
when raining but the sun is shining at the same time","Today, the devil is beating his wife in our city - it's raining cats and dog and sun is also shining.
Yesterday, I saw a very rare event which is called - the devil is beating his wife.
In people Southern United States of America usually comes across a weird natural phenomenon known as the devil is beating his wife.
Everybody laughed, when a kid asked her mom, ""Mamma, I want to see how the devil is beating his wife""."
when hell freezes over,"impolite way of saying ""it will never happen""
it will never come about
that will not occur at all
something that is not likely to be happened ever
impossible - it's not going to happen","I guess, she will forgive you when hell freezes over.
I am going to give up eating burgers, only when hell freezes over.
Ruth had broke my heart - now I will talk to her when hell freezes over.
Olivia is very arrogant and stubborn she will apologize when hell freezes over.
Do you think that all the members of our family may be reunited? Yes, When hell freezes over!"
all that glitters is not gold,"the shining outer look of something is not a consistent sign of its real character
not everyone that appears good, turns out to be good
not everything that is apparently glittery is precious
something that looks to be perfect but not in real","My grandmother advised me to be careful about making new friends because all that glitters is not gold.
After being cheated by many handsome guys, she finally realised that all that glitters is not gold.
I know that Christie is a beautiful girl but don't forget all that glitters is not gold.
Mark recently bought an attractive wrist-watch, and it stopped after few weeks. All that glitters is not gold.
I never prefer to wear a bling rather I like being relaxed - all that glitters is not gold!"
forty winks,"sleep for a while, mostly during the day
a small sleep
a short slumber
a snooze
a nap
catnap
put your head down","The bank manager caught the security guard while taking forty winks on duty.
I must have to get my forty winks today since I didn't sleep well since couple of days.
Being on the duty of a security person - catching forty winks is strictly prohibited.
John generally has forty winks going to work early in morning on the bus.
Robert always like to catch forty winks after the lunch.
When the pilot was catching forty winks - the plane was about to be crashed.
I wonder how do the people can get forty winks when they are on the plane.
Sassi was highly regretted for those forty winks when Baloch people kidnapped her lover Punnu.
Mirza had not be killed by the brothers of his girlfriend if he didn't catch forty winks at that time."
elvis has left the building,"the show is ended and go home now
the concert is over - go home
used to refer ""the end"" of public show or event
it's all over!
over and done with
the end
finished or ended","I think we delayed coming - Elvis has left the building.
What are you waiting for now? Elvis has left the building.
The event manager said, ""I am sorry Mr. Reddy, you are late. Elvis has left the building.""
Why the Elvis has left the building so soon? The show was supposed to end at 11PM.
I came here, to take photos of the tornado from near, but it turned away before reaching to us. Elvis has left the building."
famous last words,"a comment or a prophecy that is expected to be proved incorrect
declaration that is promptly counteracted
a speech or claim that is rapidly contradicted","I was thinking that I will not have dinner today. Famous last words, I am very hungry.
I replied Jack's friendship proposal as ""I hate you!"" Famous last words! Then only after few weeks I fell in love with him.
I think it's not raining and we can go out playing today. Famous last words! Once look outside in window.
I will never shout on you, promise! ... Huh? ."" Famous last words! You are still shouting and just shut up.
I swore in the morning that I would not drink anymore. My famous last words."
sense of humour,"the ability to enjoy funniness
to see the funny side of a situation instead of always being serious
the ability to make light of something","I appreciate the fact that you have a sense of humour, but we need to be serious now.
His sense of humour often gets in the way of getting the job done.
Peter has a very dry sense of humour.
His sense of humour always lightens up my day.
After being moved to the California I realised that people here have a bit less sense of humour.
Your brother is pretty calm guy with an amazing sense of humour.
She is looking for a life partner who has a good sense of humor.
My husband has really nice sense of humour which I find very amusing.
Developing a good sense of humour might be helpful to impress the girls.
Because of Robert's great sense of humor, he has got the double promotion in lately."
a stitch in time saves nine,"do not wait to deal with a specific problem or you risk it getting
much worse later on
it's better to find solution of any trouble on time before it becomes worse
small action taken on right time may prevents difficulty to be bigger later","John said to his brother, "" You better bring your car to the shop
while it's still running, because a stitch in time saves nine"".
The timely investigation could be prevented the major malfunction in computers. Someone truly said that a stitch in time saves nine.
Resolve a small problem on time may prevent a big trouble it's like the old saying ""a stitch in time saves nine"".
It seems that something wrong with my car, it's better to get its check-up as a stitch in time saves nine.
There is an old saying that a stitch in time saves nine and I think it's better to compromise earlier instead of dispute with your neighbour.
Prime Minister summed up the speech in the saying ""a stitch in time saves nine""."
other half,"husband, wife, or partner of someone
tour partner or spouse
can also refer to a very good friend
better half
the other half of an object, something that will make it whole","Next time I come to this restaurant I will bring my other half.
My other half loves lobster, even though I can’t stand it.
I cannot enjoy the party without my other half being here.
The old lady who lives in my neighbourhood has lost her other half
I love to go to the nearest park with my other half every evening.
As soon as you hand me the other half of the project we can submit it.
Half of Scotland's population voted in favour of an independent nation, and the other half voted to remain united with England."
for a song,"incredibly inexpensive
to get something for a surprisingly low price
to buy something for less than it is worth
easy on the pocket
reasonably priced
low-priced
going for a song","She bought those lovely shoes at a flea market for a song.
We bought our house for a song.
Portable speakers of Bose are going for a song on last day of the sale.
The clothes of my favorite brand are going for a song in the neighborhood shop.
Who rumored that the tickets of Justin Bieber's concert in New Zealand will go for a song.
I have never seen such a sale before - here things are going for a song.
These watches are very expensive in Canada but you can buy them for a song in Switzerland.
Amazon is a great place to shop online - sometime they sell goods for a song.
I didn't possess this house for a song, I worked day and night to get this.
A friend of mine has always been in search of the deals for a song - now he has made it his profession."
not at all,"a polite response when someone says ""thank you"" - as a synonym for ""you're welcome""
used to answer a question when you want to strongly convey that the answer is ""No!""
not even a small amount
not even a little bit","Thank you so much for helping with my move. Not at all.
Thank you for all of your effort regarding my job application. Not at all.
Would it bother you if I open the window to let in some fresh air? Not at all.
Did you enjoy the ballet this weekend? Not at all.
She was not at all polite to his new girlfriend when they met over the weekend.
I am not at all hungry after the large breakfast that we had earlier.
I'm not at all impressed with your stupid ideas.
I replied politely, ""Not at all!"" - When a beautiful lady said, ""Thank you!""
My English teacher often reply as ""not at all"" - when we say ""thank you"" to her."
beat the heat,"finding a way to stay cool when it is very hot outside
to keep yourself cooler in hot weather
way to avoid the heat of summer
also, to leave before it becomes very hot","I have found that drinking a cool glass of water helps to beat the heat in summer.
We are going to beat the heat by spending the day in the library. They always have the air conditioner running.
We are going to Europe in order to beat the heat.
We will be leaving very early tomorrow morning in order to beat the heat.
My favourite technique of beating the heat is to go the beaches of Scotland.
I wonder, how the people of Africa use to beat the extreme heat?
Only a good air-conditioner can beat the heat in Singapore.
It's not a good idea to rely only on Soft Drinks to beat the heat.
We are going to Waterpark to beat the heat."
make do,"to cope with something even though the circumstances are not ideal
to live with the insufficient or unsatisfactory resources available
to manage as well as you possibly can with what you have been given
to manage (get along) with whatsoever is available","I will make do without all of the research and send you a proposal by the end of the day.
We will have to make do with Peter in our team, even though he rarely shows up for class.
We don't have potato for the stew, we will have to make do with the vegetables that we do have.
Jone had to make do with what was available in his house.
Since the new museum has no washroom, visitors have to make do with the only public toilet close by.
Sorry Jack! You have to make do with the last slice of Pizza.
Back in the times past, we made do with a tiny house.
The winner team made do and hung in there with what they had.
During the snowy months in Canada the white-tailed deer makes do with the dry leaves.
He is not rich, but is innovative and makes do with what he can get, fix or build himself."
leg it,"an informal way of telling someone to run in order to evade capture
telling someone to go away (used as an interjection)
to get somewhere quickly
to use your legs to get from one place to another
to run very fast - to escape from somebody","We were trespassing on their property. When the alarm went off we had to leg it or we would be caught.
When you hear someone coming give us a signal and we will leg it.
You should not be here! Leg it!
We better leg it or we are not going to make it home before curfew.
We have five minutes before class starts, we will have to leg it or we will be late.
I do not have a car, so if I want to get anywhere I have to leg it."
snow under,"to bury or cover something or somebody in snow (Literal meaning)
to overwhelm something or somebody especially beyond their capacity to handle or deal with it
to defeat something or somebody by a vast margin
to have so much work that you have issues managing everything
inundate
overwhelm","I feel snowed under with all the work my boss keeps throwing my way.
The result of the election saw the republican candidate being snowed under by a margin of 15 to 4.
The avalanche kept the snowboarders snowed under. (Literal example)
Jane snowed under me with letters since I stopped talking to her.
Do not ever snow under your employees, unless you wish to fire any of them.
Only a mother - who never feel annoyed being snowed under with work for her kids.
Sally says she has been ""snowed under"" with compliments of her beauty.
Michael Schumacher snowed under all the competitors in the Car Racing Championship and won the trophy."
last long,"existing or persevering for a significant amount of time
powerful for a moderately extensive period
opposing the impacts of wear or use over a long period of time
lifelong or long-term","The debate on whether man and woman were created equal has been long-lasting and significant.
He can't last long should it come down to a fist fight between both of them.
The wood used for the chair is long-lasting.
Experts stated that Patanjali Noodles won't lasts long against Nestle Maggi Noodles in India.
New car battery works last long in cold weather too.
Where from do you bring these Deodorants that stay last long?
Donkeys are known as scruffy animals but they work long-lasting without tiring.
Winter lasts long in Canada.
Even a small incident may leave a long-lasting effect on child.
Money and fame lasts long only if earned by honesty."
next of kin,"close relative
blood relation
spouse or parent
closest relation
nearest blood relation/relative
closest family member
kith and kin
nearest and dearest","We cannot release the names of the soldiers killed at the battle of Normandy until we've informed their next of kin.
After his death, the documents were processed to enable his next of kin obtain legal benefits due to him such as pensions and gratuity.
I will inform his sister about his health, she is listed as his next to kin.
It is no easy feat being next to kin to a wealthy man.
A next of kin is a closest family member who can be contacted in case of any crisis.
'Next of Kin' is a popular family drama that presents the family bonds, origin of terrorism and life of immigrants. (Literal example)
Next of kin has been informed and is supporting in the investigation, according to police.
The government has declared the reward money to next of kin of soldier killed.
Police is trying to contact the next of kin of the victim.
I think we should call the next of kin of injured person."
fall from grace,"to lose status, respect or prestige
a loss of support or a rank of authority or honour
used to describe the transition of the first man and woman from a state of innocent obedience to God to a state of guilty disobedience
backsliding; fall from favour; lapse; original sin","The Economic and Finance minister's fall from grace gave her detractors great satisfaction.
He was the best president we had ever had, until his fall from grace.
His hatred of Abigail must have stemmed from her complicity in his fall from grace.
Her fall from grace has begun.
My sister is suffering a fall from grace since of her unsocial activities.
No one had expected such ""a dramatic fall from grace"" of highly reputed company.
3 years after her fall from grace, the girl who wanted to be an actress - she ended up being an assistant of the producer."
go with the flow,"to do what other people are doing in any particular situation
be stress-free and adopt any situation, instead of trying to change it
to not fight against set norms, conducts, standards, and behaviours
maintain the status quo
giving in to peer pressure
to not do anything to affect the outcomes of courses of events
to agree to do something with majority since it is the best method
to follow the circumstances
flexible; adaptable; workable; supple","Kevin didn't want to be part of the protest, but all his friends wanted to stand for something, so he chose to go with the flow.
Rebecca wanted us to go to dinner instead of the dodger's game, I didn't want to upset her, so I just went with the flow.
I would like to suggest you to go with the tide until you achieve a higher position in company.
My grandmother always advised me to go with the flow and to stay safe.
In order to win - all the team members are required to go with the flow.
The best method to spy on your partner is to be patience and go with the tide.
John always upset the applecart by not going with the flow.
We have no choice but to go with the flow and hope the best is yet to come.
Do not get upset or overreact to get rid of a problem - just go with the flow.
If you don't have a choice then most simple principle of staying happier in life is to go with the flow."
neck and neck,"extremely near one another
close to an equivalent level especially in a race or a competition
so close that the preferred standpoint shifts from person to person in a manner that is not easily distinguished","The two athletes have been neck and neck for this entire race.
The two technology companies are neck and neck in developing a new operating system for our computers.
The latest opinion poll shows that the race between the republicans and democrats would be neck and neck.
Swansea are currently neck and neck with Leeds for the Championship title.
Both of the runners were neck and neck so it's difficult to decide the winner."
under the radar,"off the radar
below the radar
beneath the radar
above the radar","They managed to stay under the radar for years, after stealing all that money from their friends.
Prior to the album Trilogy, songs by the TheWeeknd, was pretty much under the radar.
Jackson didn't want his boss to find out he was searching for another job, so, he did everything under the radar.
After the successful carrier of a decade – why the band is staying under the radar now?
He is very intelligent officer – criminals can't fly above his radar.
How such a serious error can be slipped under the radar of the inspectors?
We finally married last month after going many years off the radar.
I haven't seen my close friend since 3 months - he is going off the radar.
The Taliban is still trying to run terrorism beneath the radar.
The intelligence agencies revealed the place where criminals stayed below the radar."
get goat,"irritate somebody
annoy someone
make someone feel very bad","She got my goat the moment she said my mother was no good at parenting.
Why are you so sad - who's got your goat?
Antonia has always taunted Andy and tried to get his goat without no reason.
The newcomer in our class is very intolerant - you can easily get her goat.
Abusing and shouting at home by kids often get my goat.
I don't like politics at all and fool leaders often gets my goat!
Although I don't want to get your goat but I've lost your phone - somewhere.
I didn't want to get your goat. I just wanted to show you the reality.
In this part of the world, if you have got someone's goat – nobody can save you.
My Dad always get goat of everybody with his no sense of humour."
piece of writing,"the work of a writer, anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)
part of a writing
written material
a complete paragraph","The editorial was a fine piece of writing.
As a piece of writing, Greene's book on rise of the Inca tribe is a mess.
I was about 18 years old when my first piece of writing was published.
Stopping by Woods on a Snowy Evening is a fine piece of writing by Robert Frost.
I've been waiting for ages but I didn't get any new piece of writing from my favourite writer.
A friend of mine has discovered an ancient stone with mysterious piece of writing on it - from the ruins of a Chinese castle.
Nowadays anyone can easily publish their 'pieces of writing' online.
I have written a cute piece of writing for my grandmother.
Kathleen easily gets influenced by any emotional piece of writing."
speak soon,"talk to you soon
I will talk to you later, usually spoken at the end of a conversation
see you soon
catch you later
bye; goodbye","Thank you so much for your assistance Sandra, speak soon.
I have to go on a business trip darling, but we'll speak soon, I promise.
I ran into Mark the other day, and he mentioned you weren't feeling too well, I was hoping we could speak soon.
I hear you are going to Greece. Enjoy your vacation and we shall speak soon.
We'll speak soon, all right?
I have to go to work now – speak soon.
We have been talking for a long time, we should go now. Speak soon!
I am getting late for my office now. Don't worry, we will speak soon.
It was nice talking with you. Speak soon!"
piece of work,"a complex, tricky, or odd person
an item or part of something - especially of art or craft (Example 4)
somebody although generally interesting - is weird to get along with for long time
unaware of one's stupidity
someone whose silliness and stupidity never stops to surprise you
a person who is bizarre and yet charming at the same time
an authentic personality or a unique person","My friend has the weirdest of opinions, he's a real piece of work.
My husband can't cook the food without the company of whole family. He is a piece of work.
My friend is a nasty piece of work - he always talks about skydiving.
I love this piece of work by Steven Wills – he is a wonderful painter.
""Thugs"" is a piece of work that seems to have been written in Dickens's time, perhaps by Wilkie Collins, a friend of Dickens."
stand out,"extend beyond or above a surface
straightforwardly perceptible, obvious, or noticed
be obviously preferable or more prominent than somebody or someone
persist in favour or protest of something
to support or protest something openly","The blood vessels in the back of his right leg stood out.
Orange is the one colour that stands out anywhere.
They registered more than a hundred complaints, but only five stood out as being of crucial importance.
In a country filled with docile adults who are only too glad be led like lambs to a slaughter, her courage remains admirable, as she continues to stand out against popular opinions.
The next day of planting the seeds, the green sprouts were standing out of the soil.
A glass-coated kite string made in China, killed a little girl by cutting into neck in India when she stood out of the sunroof of her moving car."
road to recovery,"the procedure of becoming healthy again
the process of coming back from something bad
used to say when something or somebody is getting better from a bad situation","The Grecian Government was supposed to put Europe on the road to recovery from the Economic and financial crisis.
The road to recovery from cancer is a long and draining one, she would need all the help she can get.
It has been a month since her accident, she is still on the road to recovery.
Recent figures from the National Bureau of Statistics shows that Nigeria is on the road to recovery.
From all indication, he would be unable to make it to the reunion because he is still on the road to recovery from the illness.
I went to see Jill today, she is on the way to recovery.
""Don't worry Mom, I am on my way to recovery."""
